[INFO] [1619507809.709684]: id x y z error radius scorability
[INFO] [1619507809.710721]: he001_s1 -2.90 -0.02 -0.09 0.00 0.00 1.00
[INFO] [1619507809.711836]: dr002_s1 -4.82 11.82 0.01 12.60 15.98 0.18
[INFO] [1619507809.712749]: su003_s1 0.41 2.16 0.06 1.95 2.86 0.72
[INFO] [1619507809.713609]: ro004_s1 -0.44 5.76 0.77 2.93 4.43 0.57
[INFO] [1619507809.714560]: su005_s1 10.73 2.79 0.38 0.00 0.00 1.00
[INFO] [1619507809.715460]: fe006_s1 -3.98 -1.24 -0.10 0.00 0.00 1.00
[INFO] [1619507809.716418]: he007_s1 -0.51 7.03 1.97 0.00 0.00 1.00
[INFO] [1619507809.717269]: he008_s1 2.26 5.05 1.91 0.00 0.00 1.00
[INFO] [1619507809.718198]: he009_s1 7.42 -1.22 0.21 3.31 5.05 0.53
[INFO] [1619507809.719306]: su010_s1 8.64 2.04 0.53 0.00 0.00 1.00
[INFO] [1619507809.720256]: ro011_s1 15.89 3.99 1.50 12.60 16.00 0.18
[INFO] [1619507809.721184]: su012_s1 11.94 -0.27 0.87 0.00 0.00 1.00
[INFO] [1619507809.722112]: su013_s1 -0.68 -3.64 0.55 2.77 4.16 0.60
[INFO] [1619507809.723042]: he014_s1 10.23 -0.31 1.65 0.00 0.00 1.00
[INFO] [1619507809.724034]: su015_s1 9.70 -3.95 0.20 1.01 1.60 0.92
[INFO] [1619507809.725014]: fe016_s1 4.17 1.48 0.66 2.41 3.48 0.65
[INFO] [1619507809.725927]: dr017_s1 24.42 8.64 0.09 2.32 3.61 0.66
[INFO] [1619507809.726885]: su018_s1 21.35 6.88 1.06 0.00 0.00 1.00
[INFO] [1619507809.727830]: dr019_s1 22.25 8.47 0.65 0.00 0.00 1.00
[INFO] [1619507809.728819]: su020_s1 33.48 5.90 0.83 2.99 4.74 0.57
[INFO] [1619507809.730034]: he021_s1 23.10 7.07 1.66 1.30 2.14 0.85
[INFO] [1619507809.731309]: he022_s1 21.37 -11.46 1.29 0.00 0.00 1.00
[INFO] [1619507809.732487]: su023_s1 27.16 -10.14 0.39 1.84 2.95 0.74
[INFO] [1619507809.733398]: bp024_s1 25.29 -11.29 1.60 0.00 0.00 1.00
[INFO] [1619507809.734251]: ro025_s1 31.57 -4.32 0.58 1.15 1.72 0.89
[INFO] [1619507809.735273]: ro026_s1 29.89 -5.65 0.43 1.24 2.10 0.87
[INFO] [1619507809.736152]: fe027_s1 34.04 -11.85 0.87 1.35 2.36 0.84
[INFO] [1619507809.737086]: he028_s1 33.24 -8.29 2.03 1.33 2.10 0.85
[INFO] [1619507809.737978]: he029_s1 39.97 -10.23 0.42 0.00 0.00 1.00
[INFO] [1619507809.738895]: fe030_s1 41.18 -13.72 0.97 0.00 0.00 1.00
[INFO] [1619507809.740015]: ro031_s1 40.36 -14.44 0.76 0.00 0.00 1.00
[INFO] [1619507809.740889]: ro032_s1 40.51 -11.96 0.89 0.00 0.00 1.00
[INFO] [1619507809.741729]: he033_s1 37.03 -20.49 1.46 3.52 5.65 0.51
[INFO] [1619507809.742597]: su034_s1 34.57 -3.20 0.52 12.61 16.06 0.18
[INFO] [1619507809.743389]: he035_s1 44.35 -14.28 1.74 0.00 0.00 1.00
[INFO] [1619507809.744179]: fe036_s1 31.52 -17.88 0.72 0.00 0.00 1.00
[INFO] [1619507809.745076]: bp037_s1 32.28 -17.55 1.14 0.00 0.00 1.00
[INFO] [1619507809.745936]: he038_s1 32.79 -22.16 4.87 3.48 5.50 0.51
[INFO] [1619507809.746797]: ro039_s1 35.52 -2.97 0.39 1.48 2.60 0.82
[INFO] [1619507809.747627]: he040_s1 39.18 -0.25 1.27 1.37 1.89 0.84
[INFO] [1619507809.748430]: he041_s1 34.83 -4.37 1.96 1.32 1.95 0.85
[INFO] [1619507809.749328]: su042_s1 47.91 8.89 1.18 0.00 0.00 1.00
[INFO] [1619507809.750185]: ro043_s1 51.87 -4.67 0.60 1.79 2.48 0.75
